route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_sort_order,direction0_name,direction1_name,route_group
36,OPTYMO_SUB,36,Chavannes-Les-Grands - Delle,3,B4B1A8,FFFFFF,20,Chavannes les Grands,Delle,
37,OPTYMO_SUB,37,Beaucourt - Delle (via Croix),3,6A5841,FFFFFF,21,Beaucourt par croix,Delle par Croix,
38,OPTYMO_SUB,38,Beaucourt - Delle,3,B4B1A8,FFFFFF,22,Beaucourt,Delle,
39,OPTYMO_SUB,39,Botans - Bavilliers,3,6A5841,FFFFFF,23,Bavilliers,Botans,
40,OPTYMO_SUB,40,Etueffont - Auxelles-Bas,3,B4B1A8,FFFFFF,24,Etueffont,Auxelles-Bas,
41,OPTYMO_SUB,41,AP 90,3,B4B1A8,FFFFFF,25,,,
42,OPTYMO_SUB,42,Ligne 42,3,000000,FFFFFF,26,,,
51,OPTYMO_SUB,51,Lycées Belfort - Ligne A,3,A1A1A1,000000,27,,,Services scolaires
53,OPTYMO_SUB,53,Rougemont le Château - Colucci - Ligne C,3,A1A1A1,000000,28,,,Services scolaires
57,OPTYMO_SUB,57,Valdoie - Goscinny / Belfort - Courbet - Ligne G,3,A1A1A1,000000,29,,,Services scolaires
60,OPTYMO_SUB,60,Giromagny - Rosemont - Ligne J,3,A1A1A1,000000,30,,,Services scolaires
61,OPTYMO_SUB,61,Lycée Courbet - Ligne K,3,A1A1A1,000000,31,,,Services scolaires
62,OPTYMO_SUB,62,Lycées Belfort - Ligne L,3,A1A1A1,000000,32,,,Services scolaires
63,OPTYMO_SUB,63,Lycées Belfort - Ligne M,3,A1A1A1,000000,33,,,Services scolaires
64,OPTYMO_SUB,64,Morvillars - Lucie Aubrac - Ligne N,3,A1A1A1,000000,34,,,Services scolaires
66,OPTYMO_SUB,66,Delle - Cité Scolaire - Ligne P,3,A1A1A1,000000,35,,,Services scolaires
